"","location","county","library_type","geographic_code","interlibrary_relationship_code","legal_basis_code","clsa_system_library","courtesy_title","director_first_name","director_middle_name","director_last_name","director_title","street_address","city","zip","zip_4","public_phone_number_administration","reference_phone_number","librarys_web_address","size_square_mile","closed_outlets_due_to_covid_19","public_services_during_covid_19","electronic_library_cards_during_covid_19","reference_service_during_covid_19","outside_service_during_covid_19","external_wi_fi_access_added_during_covid_19","external_wi_fi_access_increased_during_covid_19","staff_re_assigned_during_covid_19","population_of_the_legal_service_area","registered_users_as_of_june_30","children_borrowers","num_of_central_libraries","num_of_branch_libraries","num_of_bookmobiles","total_num_of_outlets","total_square_footage","local_government_income","state_income","federal_income","other_operating_income","total_operating_income","capital_outlay_income_from_local_sources","capital_outlay_income_from_state_sources","capital_outlay_income_from_federal_sources","capital_outlay_income_from_other_sources","total_capital_outlay_income","salary_wages_expenditures","employee_benefits_expenditures","total_staff_expenditures","print_materials_expenditures","print_serial_subscription_expenditures","total_print_materials_expenditures","electronic_materials_expenditures","other_materials_expenditures","total_collection_expenditures","all_other_operating_expenditures","total_operating_expenditures","total_capital_expenditures","total_persons_employed","num_of_ala_mls_librarian_ft_es","num_of_librarian_ft_es","fte_all_other_paid_staff","staff_fte","fte_volunteers","books_children_held","books_young_adult_held","total_print_materials_held","num_of_physical_audio_materials","num_of_physical_video_materials","other_physical_items","total_physical_items","num_of_current_serial_subscriptions","num_of_electronic_books","num_of_downloadable_audio_materials","num_of_downloadable_video_materials","electronic_collections_locally_funded","electronic_collections_state_funded_no_more_than_6","num_of_electronic_collections","hours_open_all_outlets","library_visits","library_visits_reporting_method","reference_questions","reference_transactions_reporting_method","do_you_charge_late_fines","charge_per_day_for_adults","for_young_adults","for_children","do_you_lend_laptops","do_you_lend_hot_spots","circulation_of_childrens_materials","circulation_of_non_english_materials","ill_loans_to_others","ill_loans_received","circulation_of_other_physical_items","physical_item_circulation","circulation_of_electronic_materials","successful_retrieval_of_electronic_information","total_annual_circulation","total_electronic_content_use","total_content_use","you_able_to_report_live_programming_and_virtual_programming_separately","total_num_of_programs","total_program_attendence","childrens_programs_calculated","drens_program_attendance","num_of_pre_school_programs","num_of_childrens_programs_for_ages_0_5_calculated","num_of_childrens_programs_ages_0_5_live_in_person","num_of_childrens_programs_ages_0_5_live_virtual","pre_school_program_attendance","childrens_program_attendance_calculated","num_of_childrens_program_attendees_ages_0_5_live_in_person","num_of_childrens_program_attendees_ages_0_5_live_virtual","num_of_school_aged_programs","num_of_childrens_programs_for_ages_6_11","num_of_childrens_programs_age_6_11_live_in_person","num_of_childrens_programs_age_6_11_live_virtual","school_aged_program_attendance","childrens_program_attendance","num_of_childrens_program_attendees_age_6_11_live_in_person","num_of_childrens_program_attendees_age_6_11_live_virtual","num_of_young_adult_programs","num_of_young_adult_programs_calculated","num_of_young_adult_programs_live_in_person","num_of_young_adult_programs_live_virtual","young_adult_program_attendance","young_adult_program_attendance_calculated","young_adult_program_attendance_live_in_person","young_adult_program_attendance_live_virtual","num_of_adult_programs","num_of_adult_programs_calculated","num_of_adult_programs_live_in_person","num_of_adult_programs_live_virtual","adult_program_attendance","adult_program_attendance_calculated","adult_program_attendance_live_in_person","adult_program_attendance_live_virtual","num_of_programs_for_all_ages","num_of_programs_for_all_ages_calculated","num_of_general_interest_programs_live_in_person","num_of_general_interest_programs_live_virtual","general_audience_attendance","general_audience_attendance_calculated","general_audience_program_attendance_live_in_person","general_audience_program_attendance_live_virtual","of_the_above_programs_how_many_were_offsite","attendance_at_offsite_programs","num_recordings_of_program_content","num_views_of_recorded_program_content","num_on_demand_views_of_recorded_live_programs","cipa_compliant","annual_uses_of_public_internet_computers","reporting_method_for_uses_of_computers","website_visits","wireless_sessions_per_year","reporting_method_for_wifi_sessions","num_of_internet_terminals","num_of_self_directed_activities","num_of_participants","describe_activities","fscs_id"
"11","CROWELL PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Mr.","Jeff",NA,"Plumley","Acting City Librarian","1890 HUNTINGTON DR.","SAN MARINO",91108,2542,"(626) 300-0779","(626) 300-0777","http://crowellpubliclibrary.org",4,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",12961,28454,6127,1,0,0,1,29000,"$1,326,663","$0","$0","$110,396","$1,437,059","$0","$0","$0","$0","$0","$753,161","$269,640","$1,022,801","$51,231","$10,638","$61,869","$34,851","$4,000","$100,720","$209,010","$1,332,531","$0",34,5,5,13.69,18.69,0.42,31838,5573,78853,4355,3035,11,86254,100,14929,3524,239,14,1,15,175,8100,"Annual Count",1218,"Annual Count","Yes","$0.25","$0.25","$0.25","No","No",28511,3387,139,7,0,46543,12778,39124,NA,51902,98445,"No",171,2955,48,690,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA,138,138,NA,NA,69,69,NA,NA,881,881,NA,NA,42,42,NA,NA,1246,1246,NA,NA,1,169,-1,-1,-1,"No",323,"Annual Count",78181,1795,"Annual Count",40,2,332,"Summer and winter reading programs using Beanstack.","CA0119"
"12","DOWNEY CITY LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Mr.","Benjamin","A.","Dickow","Library Director","11121 BROOKSHIRE AVE.","DOWNEY",90241,3860,"(562) 904-7360","(562) 904-7364","http://www.downeylibrary.org",13,"Yes","Yes","Yes","No","No","No","Yes","No",111425,89525,18526,1,0,0,1,27400,"$2,087,386","$18,933","$321,687","$17,062","$2,445,068","$0","$0","$0","$0","$0","$621,287","$315,408","$936,695","$66,195","$0","$66,195","$91,115","$0","$157,310","$0","$1,094,005","$0",30,2,3,16,19,5,30479,3969,70324,2155,2997,0,75476,0,3837,566,0,0,1,1,383,11629,"Annual Count",-1,"Annual Count","Yes","$0.15","$0.15","$0.15","No","No",16870,1127,0,0,-1,22831,28892,-1,NA,28892,51723,"Yes",14,1075,13,1047,NA,3,3,0,NA,491,491,0,NA,10,3,7,NA,556,171,385,NA,0,0,0,NA,0,0,0,NA,1,0,1,NA,28,0,28,NA,0,0,0,NA,0,0,0,1,81,80,1140,-1,"Yes",944,"Annual Count",100013,54740,"Annual Count",25,-1,-1,NA,"CA0034"
"13","EL SEGUNDO PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Melissa","L","McCollum","Director of Library Services","111 W. MARIPOSA AVE.","EL SEGUNDO",90245,2299,"(310) 524-2722","(310) 524-2728","https://elsegundolibrary.org",5,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",16660,14769,2552,1,4,0,5,42021,"$1,783,414","$27,161","$0","$8,848","$1,819,423","$0","$0","$0","$0","$0","$1,328,039","$561,119","$1,889,158","$93,455","$7,429","$100,884","$42,838","$1,498","$145,220","$263,698","$2,298,076","$0",25,5,5,12.6,17.6,0.5,69860,7712,111046,5219,3941,0,120206,79,26414,7756,30030,9,6,15,4802,9212,"Annual Count",6565,"Annual Count","Yes","$0.25","$0.00","$0.00","No","No",48534,126,7,9,0,70594,15039,106022,NA,121061,191655,"Yes",35,572,5,112,NA,1,1,0,NA,60,60,0,NA,4,1,3,NA,52,5,47,NA,0,0,0,NA,0,0,0,NA,30,0,30,NA,460,0,460,NA,0,0,0,NA,0,0,0,0,0,114,22655,0,"No",552,"Annual Count",87854,1036,"Annual Count",50,159,4057,"Distributed craft and STEM kits","CA0037"
"14","GLENDALE LIBRARY, ARTS & CULTURE","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Dr.","Gary",NA,"Shaffer","Director of Library, Arts & Culture","222 E. HARVARD ST.","GLENDALE",91205,1075,"(818) 548-2030","(818) 548-2021","http://glendalepubliclibrary.org",31,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",203834,284644,46381,1,7,0,8,155862,"$11,125,372","$97,754","$20,500","$437,264","$11,680,890","$110,692","$0","$0","$0","$110,692","$4,819,508","$2,354,414","$7,173,922","$462,736","$0","$462,736","$430,373","$54,678","$947,787","$2,777,949","$10,899,658","$155,852",130,24.79,27.79,44.36,72.15,0.79,128983,10485,410980,53765,25728,1882,492355,0,857068,666938,21684,61,3,64,1318,17732,"Annual Count",10721,"Annual Estimate Based on Typical Week(s)","No","$0.00","$0.00","$0.00","Yes","Yes",126353,11107,20905,348,1207,253715,167068,529751,NA,696819,950534,"Yes",223,3336,60,1629,NA,36,0,36,NA,801,0,801,NA,24,17,7,NA,828,590,238,NA,3,0,3,NA,33,0,33,NA,157,0,157,NA,1559,0,1559,NA,3,0,3,NA,115,0,115,42,5144,415,5598,973,"Yes",5004,"Annual Count",237549,132107,"Annual Count",102,97,40220,"These activities include online reading challenges, grab & go craft kits, online art exhibits and activity booklets.","CA0042"
"15","GLENDORA LIBRARY & CULTURAL CENTER","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Janet","E.","Stone","Director","140 SOUTH GLENDORA AVE.","GLENDORA",91741,3499,"(626) 852-4891","(626) 852-4891","http://www.glendoralibrary.org",19,"Yes","Yes","Yes","Yes","Yes","No","No","No",51540,26110,3794,1,0,0,1,30000,"$2,319,966","$30,638","$0","$182,094","$2,532,698","$0","$0","$0","$0","$0","$950,389","$270,188","$1,220,577","$52,314","$11,449","$63,763","$85,773","$7,470","$157,006","$616,720","$1,994,303","$6,238",31,7.11,7.11,13.15,20.26,0.57,22932,4017,76758,8187,7012,0,91957,177,182198,9615,212,26,6,32,684,20613,"Annual Count",9863,"Annual Count","Yes","$0.25","$0.25","$0.25","No","No",35492,75,213,87,0,65839,40718,71857,NA,112575,178414,"Yes",370,5870,275,4495,NA,29,29,0,NA,434,434,0,NA,246,30,216,NA,4061,1837,2224,NA,48,0,48,NA,611,0,611,NA,25,1,24,NA,467,21,446,NA,22,2,20,NA,297,23,274,49,2083,21,1444,0,"No",1124,"Annual Count",100940,439474,"Annual Count",16,33,3265,"To-go crafts Story stroll","CA0043"
"16","INGLEWOOD PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Kerri",NA,"Arroyo","Library Manager","101 W. MANCHESTER BLVD.","INGLEWOOD",90301,1771,"(310) 412-5397","(310) 412-5380","http://library.cityofinglewood.org",9,"Yes","Yes","Yes","No","Yes","Yes","Yes","No",110159,100422,11209,1,1,0,2,84900,"$4,029,992","$0","$24,800","$0","$4,054,792","$0","$0","$0","$0","$0","$1,298,461","$1,100,123","$2,398,584","$123,500","$10,300","$133,800","$227,100","$0","$360,900","$256,120","$3,015,604","$0",29,9,9,10,19,0,42191,6251,137393,0,4762,436,142591,12,1085,500,700,19,3,22,216,20,"Annual Count",38,"Annual Estimate Based on Typical Week(s)","No","$0.00","$0.00","$0.00","Yes","Yes",683,118,0,0,16,2017,2850,2850,4867,5700,7717,"Yes",0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,"Yes",30,"Annual Count",2100,-1,"Annual Estimate Based on Typical Week(s)",20,0,0,NA,"CA0049"
"17","IRWINDALE PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Shayna",NA,"Balli","City Librarian","5050 N. IRWINDALE AVE.","IRWINDALE",91706,2193,"(626) 430-2229","(626) 430-2229","https://www.irwindaleca.gov/121/Library",10,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",1441,7190,1680,1,0,0,1,2831,"$406,810","$8,979","$0","$231","$416,020","$0","$0","$0","$0","$0","$248,429","$71,823","$320,252","$11,835","$2,778","$14,613","$6,953","$4,079","$25,645","$44,596","$390,493","$0",14,1,1,6,7,0,9258,1974,17302,368,4159,121,21950,63,22795,8960,268,5,4,9,403,18512,"Annual Estimate Based on Typical Week(s)",-1,"Annual Estimate Based on Typical Week(s)","Yes","$0.25","$0.00","$0.00","No","No",3354,137,0,1,2094,6808,1556,182,NA,1738,8546,"Yes",15,45,3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,12,2,10,NA,21,5,16,NA,0,0,0,NA,0,0,0,0,0,0,0,0,"Yes",426,"Annual Count",10760,-1,NA,12,17,298,"take home craft kits, social media challenge","CA0161"
"18","LA COUNTY LIBRARY","Los Angeles","County Library with Dedicated Tax","County/Parish (most nearly)","Member of a Federation or Cooperative","County/Parish","Southern California Library Cooperative","Ms.","Skye",NA,"Patrick","County Librarian","7400 E. IMPERIAL HIGHWAY","DOWNEY",90241,3375,"(562) 940-8462","N/A","http://www.lacountylibrary.org",3041.33,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3338382,2333303,460528,0,85,3,88,1133799,"$152,154,585","$290,521","$34,521","$20,589,416","$173,069,043","$0","$0","$0","$0","$0","$66,118,790","$42,953,561","$109,072,351","$5,109,309","$263,097","$5,372,406","$4,505,871","$1,009,711","$10,887,988","$33,491,630","$153,451,969","$5,653,872",1367,266,267,840,1107,0.08,2073575,246076,3466972,190232,525571,105570,4288345,3571,1616843,279042,45550,44,4,48,27280,1032726,"Annual Estimate Based on Typical Week(s)",159397,"Annual Estimate Based on Typical Week(s)","Yes","$0.30","$0.15","$0.15","Yes","Yes",1630668,126806,249,45,5948,3381876,4893887,2067019,NA,6960906,10342782,"Yes",2114,178676,1478,159978,NA,376,34,342,NA,128597,322,128275,NA,1102,1030,72,NA,31381,28445,2936,NA,226,89,137,NA,4153,539,3614,NA,398,256,142,NA,13771,2868,10903,NA,12,0,12,NA,774,0,774,158,2066,241,61490,5596,"Yes",48071,"Annual Count",10748310,905002,"Annual Count",1794,14101,24200,"Early Literacy support resources, STEAM activities and crafts, and School and Life Skills support activities. Typically activity kits supported live or pre-recorded programs.","CA0062"
"19","LONG BEACH PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Glenda","Constance","Williams","Director","200 W. BROADWAY","LONG BEACH",90802,4433,"(562) 570-6291","(562) 570-7500","http://www.lbpl.org/",50,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",467730,329524,54767,1,11,0,12,197770,"$13,374,919","$338,437","$0","$807,018","$14,520,374","$0","$0","$0","$0","$0","$6,019,955","$3,289,583","$9,309,538","$630,366","$12,694","$643,060","$253,104","$42,943","$939,107","$4,222,725","$14,471,370","$53,365",163,39.6,39.6,93.12,132.72,0.03,249711,43195,644281,26796,29443,489,701009,0,25102,8343,26825,23,6,29,4092,132052,"Annual Count",51792,"Annual Estimate Based on Typical Week(s)","Yes","$0.35","$0.15","$0.15","Yes","Yes",205783,10031,152,4,508,756037,360316,954511,NA,1314827,2070864,"Yes",117,6757,50,1587,NA,23,5,18,NA,318,56,262,NA,27,7,20,NA,1269,56,1213,NA,10,0,10,NA,108,0,108,NA,44,1,43,NA,2055,7,2048,NA,13,13,0,NA,3007,3007,0,13,3007,169,348,37206,"Yes",12246,"Annual Count",1205034,31825,"Annual Count",321,15,3935,"We offered craft kits weekly as part of our summer reading program (10). We also offered craft kits for AAPI Heritage Month (2) and Latino Heritage Month (3).","CA0061"
"20","LOS ANGELES PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Mr.","John","F.","Szabo","City Librarian","630 W. FIFTH ST.","LOS ANGELES",90071,2097,"(213) 228-7515","(213) 228-7272","http://www.lapl.org",464,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",3923341,2696713,994273,1,72,0,73,1396361,"$188,533,705","$222,850","$10,000","$0","$188,766,555","$0","$0","$0","$0","$0","$77,048,729","$53,011,021","$130,059,750","$2,384,605","$347,512","$2,732,117","$9,236,028","$1,639,406","$13,607,551","$40,964,429","$184,631,730","$0",1146,380.5,380.5,597.5,978,14.7,1505632,454454,5779834,212908,341256,0,6333998,5416,651350,238790,10377,216,2,218,22142,-1,"Annual Count",-1,"Annual Count","No","$0.00","$0.00","$0.00","Yes","Yes",1082395,155675,0,0,-1,2980466,12223192,-1,NA,12223192,15203658,"Yes",6714,80576,1755,23884,NA,845,256,589,NA,12525,8545,3980,NA,910,307,603,NA,11359,5702,5657,NA,1598,438,1160,NA,17620,5558,12062,NA,3361,1028,2333,NA,39072,15488,23584,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1332,190981,-1,"No",19421,"Annual Count",10269567,81186,"Annual Estimate Based on Typical Week(s)",981,-1,-1,NA,"CA0063"
"21","MONROVIA PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Carey","T.","Vance","Library Manager","321 S. MYRTLE AVE.","MONROVIA",91016,2848,"(626) 256-8274","(626) 256-8259","http://www.monroviapubliclibrary.org",14,"Yes","Yes","Yes","Yes","No","No","No","No",38479,75615,21030,1,0,1,2,27997,"$2,336,335","$182,397","$5,000","$34,468","$2,558,200","$0","$0","$0","$0","$0","$1,142,445","$320,251","$1,462,696","$86,935","$1,824","$88,759","$31,321","$5,401","$125,481","$762,782","$2,350,959","$0",28,6.85,8.5,7.75,16.25,0.86,26909,2448,62205,1681,1433,2526,67845,20,28057,10781,269,7,3,10,2459,1784,"Annual Count",12469,"Annual Count","Yes","$0.15","$0.15","$0.15","No","No",36306,1918,0,0,1986,49411,17764,6843,NA,24607,74018,"Yes",377,2942,28,466,NA,2,2,0,NA,54,54,0,NA,26,0,26,NA,412,0,412,NA,9,0,9,NA,96,0,96,NA,312,0,312,NA,2321,0,2321,NA,28,0,28,NA,59,0,59,60,4193,212,22862,-1,"No",778,"Annual Count",94227,3529,"Annual Count",38,10,184,"Kits patrons could register for and pick up via Curbside: seed bombs, composting starter kits, craft kits for kids & teens","CA0072"
"22","MONTEREY PARK BRUGGEMEYER LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Diana",NA,"Garcia","City Librarian","318 S. RAMONA AVENUE","MONTEREY PARK",91754,3399,"(626) 307-1269","(626) 307-1368","www.montereypark.ca.gov/Library",8,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",60380,39967,2651,1,0,0,1,52880,"$2,070,111","$38,126","$178,845","$0","$2,287,082","$0","$0","$0","$0","$0","$1,118,268","$799,849","$1,918,117","$44,705","$1,971","$46,676","$10,359","$3,094","$60,129","$315,475","$2,293,721","$0",18,6,7,11,18,0.44,43987,3370,88472,3769,5904,107,98252,47,43987,5272,263,1,6,7,168,4597,"Annual Count",4478,"Annual Count","No","$0.00","$0.00","$0.00","No","No",26233,1721,18,0,4471,32426,9709,6219,NA,15928,48354,"Yes",634,10155,213,5849,NA,204,0,204,NA,3384,0,3384,NA,9,5,4,NA,2465,2231,234,NA,25,5,20,NA,111,30,81,NA,396,6,390,NA,4195,145,4050,NA,0,0,0,NA,0,0,0,5,2231,253,1060,7852,"Yes",154,"Annual Count",35010,9878,"Annual Count",61,26,1099,"craft kits","CA0075"
"23","PALMDALE CITY LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Mr.","Robert",NA,"Shupe","Director","700 E. PALMDALE BLVD.","PALMDALE",93550,4742,"(661) 267-5600","(661) 267-5600","http://www.cityofpalmdale.org/library",103,"Yes","Yes","Yes","Yes","Yes","No","No","No",156074,40582,4617,1,0,1,2,12787,"$1,336,657","$0","$33,978","$33,475","$1,404,110","$0","$0","$0","$0","$0","$0","$0","$0","$77,480","$6,174","$83,654","$104,944","$25,042","$213,640","$1,190,470","$1,404,110","$0",16,3,3,9.25,12.25,0.03,34527,6881,71679,4407,6253,39,82378,37,790238,650684,50836,8,4,12,670,7766,"Annual Count",7691,"Annual Count","Yes","$0.20","$0.20","$0.20","No","Yes",21278,2114,11789,4472,140,45123,7005,9154,NA,16159,61282,"Yes",44,1787,13,1220,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,31,0,31,NA,567,0,567,NA,0,0,0,NA,0,0,0,0,0,66,20432,0,"Yes",1339,"Annual Count",30849,7639,"Annual Count",20,55,30713,"*21 Grab and Go activities with 1,216 Participants.*1 Backpack event 2,972 participants. *33 lunch sites with 26,525 participants..Partnership with Palmdale School District where library staff used the KNOW MOBILE to take free Scholastic books and library services informational and activity based inserts to different lunch distribution sites in Palmdale. The attendance numbers indicated how many individuals received at least one free book and accompanying inserts during the Summer months and again in the Fall months.","CA0089"
"24","PALOS VERDES LIBRARY DISTRICT","Los Angeles","Special District Library","Metropolitan Area (exactly)","Member of a Federation or Cooperative","Library District","Southern California Library Cooperative","Ms.","Jennifer","L.","Addington","Director","701 SILVER SPUR RD.","ROLLING HILLS ESTATE",90274,3603,"(310) 377-9584","(310) 377-9584","http://www.pvld.org",28,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",66912,45349,6453,1,2,0,3,114500,"$9,371,717","$0","$1,027","$332,913","$9,705,657","$0","$0","$0","$0","$0","$4,404,746","$1,604,764","$6,009,510","$146,812","$30,286","$177,098","$269,367","$20,164","$466,629","$1,516,460","$7,992,599","$299,041",75,15,15,27,42,1.6,62264,5279,186959,8652,19036,297,214944,395,483578,141632,49316,61,6,67,6266,51981,"Annual Count",6498,"Annual Count","Yes","$0.30","$0.00","$0.00","Yes","Yes",165955,8703,160,68,602,292813,128033,134748,NA,262781,555594,"Yes",61,1230,9,345,NA,0,0,0,NA,0,0,0,NA,9,0,9,NA,345,0,345,NA,12,0,12,NA,132,0,132,NA,40,0,40,NA,753,0,753,NA,0,0,0,NA,0,0,0,17,312,82,9707,0,"Yes",969,"Annual Count",416655,11141,"Annual Count",46,2,810,"2 projects: STEM kaleidoscope and Black Out Poetry","CA0092"
"25","PASADENA PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Michelle",NA,"Perera","Library Director","285 E. WALNUT ST.","PASADENA",91101,1598,"(626) 744-4066","(626) 744-4066","http://cityofpasadena.net/library",23,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",145306,331750,71492,1,9,0,10,179336,"$15,337,573","$0","$280,500","$101,594","$15,719,667","$0","$0","$0","$0","$0","$5,196,413","$4,265,782","$9,462,195","$400,335","$63,359","$463,694","$305,548","$37,703","$806,946","$3,085,916","$13,355,057","$0",113,26.5,26.5,75.45,101.95,0.4,198155,16178,512063,19235,22534,61996,615828,544,644276,431630,49386,33,5,38,3054,66906,"Annual Count",38643,"Annual Estimate Based on Typical Week(s)","No","$0.00","$0.00","$0.00","No","No",238743,12017,90,137,-1,464985,122880,1951,NA,124831,589816,"Yes",1088,49306,568,34486,NA,281,0,281,NA,16982,0,16982,NA,287,0,287,NA,17504,0,17504,NA,94,0,94,NA,2283,0,2283,NA,425,0,425,NA,12395,0,12395,NA,1,0,1,NA,142,0,142,95,3893,64,1558,343,"No",1517,"Annual Count",431379,83628,"Annual Count",156,100,3078,"Primarily crafts, based on kits with materials supplied by library.","CA0094"
"26","POMONA PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Anita",NA,"Torres","Library Manager","625 S. GAREY AVE.","POMONA",91766,3322,"(909) 620-2035","(909) 620-2043","http://www.pomonalibrary.org",23,"Yes","Yes","Yes","Yes","Yes","No","No","No",151319,43182,4382,1,0,0,1,57000,"$793,606","$0","$0","$0","$793,606","$0","$0","$0","$0","$0","$275,395","$60,830","$336,225","$21,190","$1,998","$23,188","$22,554","$0","$45,742","$411,639","$793,606","$0",20,2.25,2.25,7.5,9.75,0,43605,6267,215591,4668,2087,0,222346,39,353,190,0,0,0,0,1102,2061,"Annual Estimate Based on Typical Week(s)",602,"Annual Estimate Based on Typical Week(s)","Yes","$0.25","$0.25","$0.25","Yes","No",2750,214,0,0,57,3021,-1,-1,NA,NA,3021,"Yes",1,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,NA,412,412,0,0,0,8,461,0,"Yes",-1,"Annual Estimate Based on Typical Week(s)",-1,-1,"Annual Estimate Based on Typical Week(s)",36,3,142,"pick up and take home crafts","CA0098"
"27","REDONDO BEACH PUBLIC LIBRARY","Los Angeles","Municipal Library","Municipal Government (city, town or village) (exactly)","Member of a Federation or Cooperative","Municipal Government (city, town or village)","Southern California Library Cooperative","Ms.","Susan","E.","Anderson","Director of Library Services","303 N. PACIFIC COAST HWY","REDONDO BEACH",90277,2838,"(310) 318-0676","(310) 318-0675","http://redondo.org/library",7,"Yes","Yes","Yes","Yes","Yes","No","No","No",66484,63200,9341,1,1,0,2,62287,"$4,140,094","$0","$0","$5,165","$4,145,259","$0","$0","$0","$0","$0","$1,312,091","$510,025","$1,822,116","$119,842","$6,195","$126,037","$178,672","$34,340","$339,049","$2,021,985","$4,183,150","$0",45,4.5,4.5,10.5,15,0,60256,8563,154558,23891,21044,2,199495,59,1084848,1617442,48465,8,4,12,748,18821,"Annual Count",7844,"Annual Count","Yes","$0.35","$0.35","$0.35","No","No",83212,2348,4,3,0,165993,76537,13311,242530,89848,255841,"Yes",22,326,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,6,0,6,NA,107,0,107,NA,16,0,16,NA,219,0,219,NA,0,0,0,NA,0,0,0,0,0,61,-1,-1,"No",1055,"Annual Count",59905,19032,"Annual Estimate Based on Typical Week(s)",22,20,2145,"craft programs","CA0100"
