"","id","location","childrens_program_attendance","childrens_program_attendance_live_in_person","childrens_program_attendance_live_virtual","young_adult_program_attendance_calculated","young_adult_program_attendance_live_in_person","young_adult_program_attendance_live_virtual","adult_program_attendance_calculated","adult_program_attendance_live_in_person","adult_program_attendance_live_virtual","attendance_at_offsite_programs","total_program_attendance","total_average_attendance_per_library_program","library_program_attendance_per_1_000_served","program_attendance_per_capita","county"
"19",118,"DOWNEY CITY LIBRARY",1047,NA,NA,0,0,0,28,0,28,81,1075,76.78571,12.00782,0.00965,"Los Angeles"
"20",122,"CITY OF COMMERCE PUBLIC LIBRARY",784,NA,NA,871,682,189,744,0,744,1754,2399,14.80864,71.77692,0.18754,"Los Angeles"
"21",125,"CROWELL PUBLIC LIBRARY",690,NA,NA,138,NA,NA,881,NA,NA,169,2955,17.2807,103.85183,0.22799,"Los Angeles"
"22",127,"SANTA MONICA PUBLIC LIBRARY",669,NA,NA,18,0,18,1402,0,1402,51,2089,16.57937,25.64701,0.02247,"Los Angeles"
"23",131,"SANTA FE SPRINGS CITY LIBRARY",500,0,500,0,0,0,0,0,NA,0,500,12.19512,11.12075,0.02758,"Los Angeles"
"24",133,"COVINA PUBLIC LIBRARY",474,NA,NA,0,0,0,534,0,534,0,1171,4.46947,35.40867,0.02398,"Los Angeles"
"25",134,"MONROVIA PUBLIC LIBRARY",466,NA,NA,96,0,96,2321,0,2321,4193,2942,7.80371,38.90762,0.07646,"Los Angeles"
"26",142,"PALOS VERDES LIBRARY DISTRICT",345,NA,NA,132,0,132,753,0,753,312,1230,20.16393,27.12298,0.01838,"Los Angeles"
"27",150,"BEVERLY HILLS PUBLIC LIBRARY",195,NA,NA,10,0,10,890,0,890,0,1095,21.9,21.73568,0.03279,"Los Angeles"
"28",151,"ARCADIA PUBLIC LIBRARY",188,NA,NA,134,0,134,197,0,197,0,519,5.13861,20.69048,0.009,"Los Angeles"
"29",157,"EL SEGUNDO PUBLIC LIBRARY",112,NA,NA,0,0,0,460,0,460,0,572,16.34286,38.72977,0.03433,"Los Angeles"
"30",167,"CERRITOS PUBLIC LIBRARY",28,NA,NA,17,0,17,0,0,0,0,105,8.07692,9.97625,0.0021,"Los Angeles"
"31",168,"IRWINDALE PUBLIC LIBRARY",24,NA,24,0,0,0,21,5,16,0,45,3,6.25869,0.03123,"Los Angeles"
"32",170,"SIGNAL HILL PUBLIC LIBRARY",6,NA,NA,10,0,10,84,0,84,0,100,5.26316,43.29004,0.00861,"Los Angeles"
"33",175,"REDONDO BEACH PUBLIC LIBRARY",0,NA,NA,107,0,107,219,0,219,0,326,14.81818,5.15823,0.0049,"Los Angeles"
"34",178,"POMONA PUBLIC LIBRARY",NA,NA,NA,0,0,0,0,0,0,0,412,412,9.54101,0.00272,"Los Angeles"
