Location,Registered Users as of June 30,Children Borrowers,% of Population Registered,Total Operating Expenditures per Borrower
BRAWLEY PUBLIC LIBRARY,"5,659","1,931",20.71%,$46.83
SAUSALITO PUBLIC LIBRARY,"5,159",333,70.14%,$132.53
MARIPOSA COUNTY LIBRARY,"4,835",923,26.81%,$82.63
COLUSA COUNTY FREE LIBRARY,"4,829","1,462",21.71%,$249.57
COALINGA-HURON LIBRARY DISTRICT,"3,905","1,265",16.17%,$266.42
ALPINE COUNTY LIBRARY/ARCHIVES,"3,370",527,296.92%,$107.37
SIGNAL HILL PUBLIC LIBRARY,"2,310","1,183",19.88%,$161.30
LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,"2,290",553,33.64%,$156.94
SAN JUAN BAUTISTA CITY LIBRARY,,263,0.00%,$0.00
Median,"44,070","7,572",59.97%,$73.16
Total,"21,774,778","4,682,286",,
Average,"118,988","25,447",71.09%,$88.13
Maximum,"2,696,713","994,273",498.96%,$384.83
Minimum,"2,290",-1,9.26%,$5.30
